emotion,Video_name
fear,Video 0.mp4
disgust,Video 1.mp4
surprise,Video 2.mp4
sad,Video 3.mp4
happy,Video 4.mp4
surprise,Video 5.mp4
surprise,Video 6.mp4
surprise,Video 7.mp4
fear,Video 8.mp4
disgust,Video 9.mp4
angry,Video 11.mp4
disgust,Video 12.mp4
happy,Video 13.mp4
disgust,Video 14.mp4
surprise,Video 15.mp4
disgust,Video 16.mp4
surprise,Video 17.mp4
disgust,Video 18.mp4
happy,Video 19.mp4
disgust,Video 20.mp4
surprise,Video 21.mp4
surprise,Video 22.mp4
surprise,Video 23.mp4
disgust,Video 24.mp4
happy,Video 25.mp4
disgust,Video 26.mp4
sad,Video 27.mp4
surprise,Video 28.mp4
fear,Video 29.mp4
sad,Video 30.mp4
angry,Video 31.mp4
surprise,Video 32.mp4
surprise,Video 33.mp4
disgust,Video 34.mp4
sad,Video 35.mp4
surprise,Video 36.mp4
surprise,Video 37.mp4
fear,Video 38.mp4
surprise,Video 39.mp4
surprise,Video 40.mp4
surprise,Video 41.mp4
surprise,Video 42.mp4
surprise,Video 43.mp4
surprise,Video 44.mp4
surprise,Video 45.mp4
angry,Video 46.mp4
surprise,Video 47.mp4
disgust,Video 48.mp4
fear,Video 49.mp4
sad,Video 50.mp4
disgust,Video 51.mp4
surprise,Video 52.mp4
angry,Video 53.mp4
angry,Video 54.mp4
sad,Video 55.mp4
disgust,Video 56.mp4
surprise,Video 57.mp4
disgust,Video 58.mp4
surprise,Video 59.mp4
fear,Video 60.mp4
surprise,Video 61.mp4
surprise,Video 62.mp4
surprise,Video 63.mp4
surprise,Video 64.mp4
surprise,Video 65.mp4
surprise,Video 66.mp4
surprise,Video 67.mp4
angry,Video 68.mp4
surprise,Video 69.mp4
disgust,Video 70.mp4
disgust,Video 71.mp4
fear,Video 72.mp4
surprise,Video 73.mp4
fear,Video 74.mp4
surprise,Video 75.mp4
fear,Video 76.mp4
surprise,Video 77.mp4
surprise,Video 78.mp4
surprise,Video 79.mp4
surprise,Video 80.mp4
angry,Video 81.mp4
happy,Video 82.mp4
surprise,Video 83.mp4
happy,Video 84.mp4
surprise,Video 85.mp4
surprise,Video 86.mp4
happy,Video 87.mp4
surprise,Video 88.mp4
sad,Video 89.mp4
surprise,Video 90.mp4
fear,Video 91.mp4
surprise,Video 92.mp4
happy,Video 93.mp4
surprise,Video 94.mp4
surprise,Video 95.mp4
surprise,Video 96.mp4
disgust,Video 97.mp4
fear,Video 98.mp4
surprise,Video 99.mp4
happy,Video 100.mp4
happy,Video 101.mp4
surprise,Video 102.mp4
surprise,Video 103.mp4
surprise,Video 104.mp4
happy,Video 105.mp4
